,Sentences
82,"Of course, this is how we manufacture steam out of water—by increasing the temperature; the particles fly apart because of the increased motion."
83,In Fig.
84,1–2 we have a picture of steam.
85,This picture of steam fails in one respect: at ordinary atmospheric pressure there certainly would not be as many as three water molecules in this figure.
86,Most squares this size would contain none—but we accidentally have two and a half or three in the picture (just so it would not be completely blank).
87,Now in the case of steam we see the characteristic molecules more clearly than in the case of water.
88,Let us see what some of the properties of steam vapor or any other gas are.
89,"The molecules, being separated from one another, will bounce against the walls."
90,Imagine a room with a number of tennis balls (a hundred or so) bouncing around in perpetual motion.
91,"When they bombard the wall, this pushes the wall away."
92,(Of course we would have to push the wall back.)
93,This means that the gas exerts a jittery force which our coarse senses (not being ourselves magnified a billion times) feel only as an average push.
94,In order to confine a gas we must apply a pressure.
95,"Figure 1–3 shows a standard vessel for holding gases (used in all textbooks), a cylinder with a piston in it."
96,"Now, it makes no difference what the shapes of water molecules are, so for simplicity we shall draw them as tennis balls or little dots."
97,These things are in perpetual motion in all directions.
98,"So many of them are hitting the top piston all the time that to keep it from being patiently knocked out of the tank by this continuous banging, we shall have to hold the piston down by a certain force, which we call the pressure (really, the pressure times the area is the force)."
99,"Clearly, the force is proportional to the area, for if we increase the area but keep the number of molecules per cubic centimeter the same, we increase the number of collisions with the piston in the same proportion as the area was increased."
100,"Now let us put twice as many molecules in this tank, so as to double the density, and let them have the same speed, i.e., the same temperature."
101,"Then, to a close approximation, the number of collisions will be doubled, and since each will be just as “energetic” as before, the pressure is proportional to the density."
102,"If we consider the true nature of the forces between the atoms, we would expect a slight decrease in pressure because of the attraction between the atoms, and a slight increase because of the finite volume they occupy."
103,"Nevertheless, to an excellent approximation, if the density is low enough that there are not many atoms, the pressure is proportional to the density."
104,"We can also see something else: If we increase the temperature without changing the density of the gas, i.e., if we increase the speed of the atoms, what is going to happen to the pressure?"
105,"Well, the atoms hit harder because they are moving faster, and in addition they hit more often, so the pressure increases."
106,You see how simple the ideas of atomic theory are.
107,Let us consider another situation.
108,"Suppose that the piston moves inward, so that the atoms are slowly compressed into a smaller space."
109,What happens when an atom hits the moving piston?
110,Evidently it picks up speed from the collision.
111,"You can try it by bouncing a ping-pong ball from a forward-moving paddle, for example, and you will find that it comes off with more speed than that with which it struck."
112,"(Special example: if an atom happens to be standing still and the piston hits it, it will certainly move.)"
113,So the atoms are “hotter” when they come away from the piston than they were before they struck it.
114,Therefore all the atoms which are in the vessel will have picked up speed.
115,"This means that when we compress a gas slowly, the temperature of the gas increases."
116,"So, under slow compression, a gas will increase in temperature, and under slow expansion it will decrease in temperature."
117,We now return to our drop of water and look in another direction.
118,Suppose that we decrease the temperature of our drop of water.
119,Suppose that the jiggling of the molecules of the atoms in the water is steadily decreasing.
120,"We know that there are forces of attraction between the atoms, so that after a while they will not be able to jiggle so well."
121,What will happen at very low temperatures is indicated in Fig.
122,1–4: the molecules lock into a new pattern which is ice.
123,"This particular schematic diagram of ice is wrong because it is in two dimensions, but it is right qualitatively."
124,"The interesting point is that the material has a definite place for every atom, and you can easily appreciate that if somehow or other we were to hold all the atoms at one end of the drop in a certain arrangement, each atom in a certain place, then because of the structure of interconnections, which is rigid, the other end miles away (at our magnified scale) will have a definite location."
125,"So if we hold a needle of ice at one end, the other end resists our pushing it aside, unlike the case of water, in which the structure is broken down because of the increased jiggling so that the atoms all move around in different ways."
126,"The difference between solids and liquids is, then, that in a solid the atoms are arranged in some kind of an array, called a crystalline array, and they do not have a random position at long distances; the position of the atoms on one side of the crystal is determined by that of other atoms millions of atoms away on the other side of the crystal."
127,"Figure 1–4 is an invented arrangement for ice, and although it contains many of the correct features of ice, it is not the true arrangement."
128,One of the correct features is that there is a part of the symmetry that is hexagonal.
129,So there is a symmetry in the ice which accounts for the six-sided appearance of snowflakes.
130,Another thing we can see from Fig.
131,1–4 is why ice shrinks when it melts.
132,"The particular crystal pattern of ice shown here has many “holes” in it, as does the true ice structure."
133,"When the organization breaks down, these holes can be occupied by molecules."
134,"Most simple substances, with the exception of water and type metal, expand upon melting, because the atoms are closely packed in the solid crystal and upon melting need more room to jiggle around, but an open structure collapses, as in the case of water."
135,"Now although ice has a “rigid” crystalline form, its temperature can change—ice has heat."
136,"If we wish, we can change the amount of heat."
137,What is the heat in the case of ice?
138,The atoms are not standing still.
139,They are jiggling and vibrating.
140,"So even though there is a definite order to the crystal—a definite structure—all of the atoms are vibrating “in place.” As we increase the temperature, they vibrate with greater and greater amplitude, until they shake themselves out of place."
141,We call this melting.
142,"As we decrease the temperature, the vibration decreases and decreases until, at absolute zero, there is a minimum amount of vibration that the atoms can have, but not zero."
143,"This minimum amount of motion that atoms can have is not enough to melt a substance, with one exception: helium."
144,"Helium merely decreases the atomic motions as much as it can, but even at absolute zero there is still enough motion to keep it from freezing."
145,"Helium, even at absolute zero, does not freeze, unless the pressure is made so great as to make the atoms squash together."
146,"If we increase the pressure, we can make it solidify."
147,"So much for the description of solids, liquids, and gases from the atomic point of view."
148,"However, the atomic hypothesis also describes processes, and so we shall now look at a number of processes from an atomic standpoint."
149,The first process that we shall look at is associated with the surface of the water.
150,What happens at the surface of the water?
151,We shall now make the picture more complicated—and more realistic—by imagining that the surface is in air.
152,Figure 1–5 shows the surface of water in air.
153,"We see the water molecules as before, forming a body of liquid water, but now we also see the surface of the water."
154,"Above the surface we find a number of things: First of all there are water molecules, as in steam."
155,"This is water vapor, which is always found above liquid water."
156,(There is an equilibrium between the steam vapor and the water which will be described later.)
157,"In addition we find some other molecules—here two oxygen atoms stuck together by themselves, forming an oxygen molecule, there two nitrogen atoms also stuck together to make a nitrogen molecule."
158,"Air consists almost entirely of nitrogen, oxygen, some water vapor, and lesser amounts of carbon dioxide, argon, and other things."
159,"So above the water surface is the air, a gas, containing some water vapor."
160,Now what is happening in this picture?
161,The molecules in the water are always jiggling around.
162,"From time to time, one on the surface happens to be hit a little harder than usual, and gets knocked away."
163,It is hard to see that happening in the picture because it is a still picture.
164,"But we can imagine that one molecule near the surface has just been hit and is flying out, or perhaps another one has been hit and is flying out."
165,"Thus, molecule by molecule, the water disappears—it evaporates."
166,"But if we close the vessel above, after a while we shall find a large number of molecules of water amongst the air molecules."
167,"From time to time, one of these vapor molecules comes flying down to the water and gets stuck again."
168,"So we see that what looks like a dead, uninteresting thing—a glass of water with a cover, that has been sitting there for perhaps twenty years—really contains a dynamic and interesting phenomenon which is going on all the time."
169,"To our eyes, our crude eyes, nothing is changing, but if we could see it a billion times magnified, we would see that from its own point of view it is always changing: molecules are leaving the surface, molecules are coming back."
170,Why do we see no change?
171,Because just as many molecules are leaving as are coming back!
172,"In the long run “nothing happens.” If we then take the top of the vessel off and blow the moist air away, replacing it with dry air, then the number of molecules leaving is just the same as it was before, because this depends on the jiggling of the water, but the number coming back is greatly reduced because there are so many fewer water molecules above the water."
173,"Therefore there are more going out than coming in, and the water evaporates."
174,"Hence, if you wish to evaporate water turn on the fan!"
175,Here is something else: Which molecules leave?
176,"When a molecule leaves it is due to an accidental, extra accumulation of a little bit more than ordinary energy, which it needs if it is to break away from the attractions of its neighbors."
177,"Therefore, since those that leave have more energy than the average, the ones that are left have less average motion than they had before."
178,So the liquid gradually cools if it evaporates.
179,"Of course, when a molecule of vapor comes from the air to the water below there is a sudden great attraction as the molecule approaches the surface."
180,This speeds up the incoming molecule and results in generation of heat.
181,So when they leave they take away heat; when they come back they generate heat.
182,Of course when there is no net evaporation the result is nothing—the water is not changing temperature.
183,"If we blow on the water so as to maintain a continuous preponderance in the number evaporating, then the water is cooled."
184,"Hence, blow on soup to cool it!"
185,Of course you should realize that the processes just described are more complicated than we have indicated.
186,"Not only does the water go into the air, but also, from time to time, one of the oxygen or nitrogen molecules will come in and “get lost” in the mass of water molecules, and work its way into the water."
187,Thus the air dissolves in the water; oxygen and nitrogen molecules will work their way into the water and the water will contain air.
188,"If we suddenly take the air away from the vessel, then the air molecules will leave more rapidly than they come in, and in doing so will make bubbles."
189,"This is very bad for divers, as you may know."
190,Now we go on to another process.
191,In Fig.
192,"1–6 we see, from an atomic point of view, a solid dissolving in water."
193,"If we put a crystal of salt in the water, what will happen?"
194,"Salt is a solid, a crystal, an organized arrangement of “salt atoms.” Figure 1–7 is an illustration of the three-dimensional structure of common salt, sodium chloride."
195,"Strictly speaking, the crystal is not made of atoms, but of what we call ions."
196,An ion is an atom which either has a few extra electrons or has lost a few electrons.
197,In a salt crystal we find chlorine ions (chlorine atoms with an extra electron) and sodium ions (sodium atoms with one electron missing).
198,"The ions all stick together by electrical attraction in the solid salt, but when we put them in the water we find, because of the attractions of the negative oxygen and positive hydrogen for the ions, that some of the ions jiggle loose."
199,In Fig.
200,"1–6 we see a chlorine ion getting loose, and other atoms floating in the water in the form of ions."
201,This picture was made with some care.
202,"Notice, for example, that the hydrogen ends of the water molecules are more likely to be near the chlorine ion, while near the sodium ion we are more likely to find the oxygen end, because the sodium is positive and the oxygen end of the water is negative, and they attract electrically."
203,Can we tell from this picture whether the salt is dissolving in water or crystallizing out of water?
204,"Of course we cannot tell, because while some of the atoms are leaving the crystal other atoms are rejoining it."
205,"The process is a dynamic one, just as in the case of evaporation, and it depends on whether there is more or less salt in the water than the amount needed for equilibrium."
206,By equilibrium we mean that situation in which the rate at which atoms are leaving just matches the rate at which they are coming back.
207,"If there is almost no salt in the water, more atoms leave than return, and the salt dissolves."
208,"If, on the other hand, there are too many “salt atoms,” more return than leave, and the salt is crystallizing."
209,"In passing, we mention that the concept of a molecule of a substance is only approximate and exists only for a certain class of substances."
210,It is clear in the case of water that the three atoms are actually stuck together.
211,It is not so clear in the case of sodium chloride in the solid.
212,There is just an arrangement of sodium and chlorine ions in a cubic pattern.
213,There is no natural way to group them as “molecules of salt.”
214,"Returning to our discussion of solution and precipitation, if we increase the temperature of the salt solution, then the rate at which atoms are taken away is increased, and so is the rate at which atoms are brought back."
215,"It turns out to be very difficult, in general, to predict which way it is going to go, whether more or less of the solid will dissolve."
216,"Most substances dissolve more, but some substances dissolve less, as the temperature increases."
217,"In all of the processes which have been described so far, the atoms and the ions have not changed partners, but of course there are circumstances in which the atoms do change combinations, forming new molecules."
218,This is illustrated in Fig.
219,1–8.
220,A process in which the rearrangement of the atomic partners occurs is what we call a chemical reaction.
221,"The other processes so far described are called physical processes, but there is no sharp distinction between the two."
222,"(Nature does not care what we call it, she just keeps on doing it.)"
223,This figure is supposed to represent carbon burning in oxygen.
224,"In the case of oxygen, two oxygen atoms stick together very strongly."
225,(Why do not three or even four stick together?
226,That is one of the very peculiar characteristics of such atomic processes.
227,"Atoms are very special: they like certain particular partners, certain particular directions, and so on."
228,It is the job of physics to analyze why each one wants what it wants.
229,"At any rate, two oxygen atoms form, saturated and happy, a molecule.)"
230,The carbon atoms are supposed to be in a solid crystal (which could be graphite or diamond1).
231,"Now, for example, one of the oxygen molecules can come over to the carbon, and each atom can pick up a carbon atom and go flying off in a new combination—“carbon-oxygen”—which is a molecule of the gas called carbon monoxide."
232,It is given the chemical name CO.
233,It is very simple: the letters “CO” are practically a picture of that molecule.
234,But carbon attracts oxygen much more than oxygen attracts oxygen or carbon attracts carbon.
235,"Therefore in this process the oxygen may arrive with only a little energy, but the oxygen and carbon will snap together with a tremendous vengeance and commotion, and everything near them will pick up the energy."
236,"A large amount of motion energy, kinetic energy, is thus generated."
237,This of course is burning; we are getting heat from the combination of oxygen and carbon.
238,"The heat is ordinarily in the form of the molecular motion of the hot gas, but in certain circumstances it can be so enormous that it generates light."
239,That is how one gets flames.
240,"In addition, the carbon monoxide is not quite satisfied."
241,"It is possible for it to attach another oxygen, so that we might have a much more complicated reaction in which the oxygen is combining with the carbon, while at the same time there happens to be a collision with a carbon monoxide molecule."
242,"If we burn the carbon with very little oxygen in a very rapid reaction (for example, in an automobile engine, where the explosion is so fast that there is not time for it to make carbon dioxide) a considerable amount of carbon monoxide is formed."
243,"In many such rearrangements, a very large amount of energy is released, forming explosions, flames, etc., depending on the reactions."
244,"Chemists have studied these arrangements of the atoms, and found that every substance is some type of arrangement of atoms."
245,"To illustrate this idea, let us consider another example."
246,"If we go into a field of small violets, we know what “that smell” is."
247,"It is some kind of molecule, or arrangement of atoms, that has worked its way into our noses."
248,"First of all, how did it work its way in?"
249,That is rather easy.
250,"If the smell is some kind of molecule in the air, jiggling around and being knocked every which way, it might have accidentally worked its way into the nose."
251,Certainly it has no particular desire to get into our nose.
252,"It is merely one helpless part of a jostling crowd of molecules, and in its aimless wanderings this particular chunk of matter happens to find itself in the nose."
253,"Now chemists can take special molecules like the odor of violets, and analyze them and tell us the exact arrangement of the atoms in space."
254,We know that the carbon dioxide molecule is straight and symmetrical: O—C—O.
255,"(That can be determined easily, too, by physical methods.)"
256,"However, even for the vastly more complicated arrangements of atoms that there are in chemistry, one can, by a long, remarkable process of detective work, find the arrangements of the atoms."
257,"Figure 1–9 is a picture of the air in the neighborhood of a violet; again we find nitrogen and oxygen in the air, and water vapor."
258,(Why is there water vapor?
259,Because the violet is wet.
260,All plants transpire.)
261,"However, we also see a “monster” composed of carbon atoms, hydrogen atoms, and oxygen atoms, which have picked a certain particular pattern in which to be arranged."
262,"It is a much more complicated arrangement than that of carbon dioxide; in fact, it is an enormously complicated arrangement."
263,"Unfortunately, we cannot picture all that is really known about it chemically, because the precise arrangement of all the atoms is actually known in three dimensions, while our picture is in only two dimensions."
264,"The six carbons which form a ring do not form a flat ring, but a kind of “puckered” ring."
265,All of the angles and distances are known.
266,So a chemical formula is merely a picture of such a molecule.
267,"When the chemist writes such a thing on the blackboard, he is trying to “draw,” roughly speaking, in two dimensions."
268,"For example, we see a “ring” of six carbons, and a “chain” of carbons hanging on the end, with an oxygen second from the end, three hydrogens tied to that carbon, two carbons and three hydrogens sticking up here, etc."
269,How does the chemist find what the arrangement is?
270,"He mixes bottles full of stuff together, and if it turns red, it tells him that it consists of one hydrogen and two carbons tied on here; if it turns blue, on the other hand, that is not the way it is at all."
271,This is one of the most fantastic pieces of detective work that has ever been done—organic chemistry.
272,To discover the arrangement of the atoms in these enormously complicated arrays the chemist looks at what happens when he mixes two different substances together.
273,The physicist could never quite believe that the chemist knew what he was talking about when he described the arrangement of the atoms.
274,"For about twenty years it has been possible, in some cases, to look at such molecules (not quite as complicated as this one, but some which contain parts of it) by a physical method, and it has been possible to locate every atom, not by looking at colors, but by measuring where they are."
275,"And lo and behold!, the chemists are almost always correct."
276,"It turns out, in fact, that in the odor of violets there are three slightly different molecules, which differ only in the arrangement of the hydrogen atoms."
277,"One problem of chemistry is to name a substance, so that we will know what it is."
278,Find a name for this shape!
279,"Not only must the name tell the shape, but it must also tell that here is an oxygen atom, there a hydrogen—exactly what and where each atom is."
280,So we can appreciate that the chemical names must be complex in order to be complete.
281,"You see that the name of this thing in the more complete form that will tell you the structure of it is 4-(2, 2, 3, 6 tetramethyl-5-cyclohexenyl)-3-buten-2-one, and that tells you that this is the arrangement."
282,"We can appreciate the difficulties that the chemists have, and also appreciate the reason for such long names."
283,"It is not that they wish to be obscure, but they have an extremely difficult problem in trying to describe the molecules in words!"
284,How do we know that there are atoms?
285,"By one of the tricks mentioned earlier: we make the hypothesis that there are atoms, and one after the other results come out the way we predict, as they ought to if things are made of atoms."
286,"There is also somewhat more direct evidence, a good example of which is the following: The atoms are so small that you cannot see them with a light microscope—in fact, not even with an electron microscope."
287,(With a light microscope you can only see things which are much bigger.)
288,"Now if the atoms are always in motion, say in water, and we put a big ball of something in the water, a ball much bigger than the atoms, the ball will jiggle around—much as in a push ball game, where a great big ball is pushed around by a lot of people."
289,"The people are pushing in various directions, and the ball moves around the field in an irregular fashion."
290,"So, in the same way, the “large ball” will move because of the inequalities of the collisions on one side to the other, from one moment to the next."
291,"Therefore, if we look at very tiny particles (colloids) in water through an excellent microscope, we see a perpetual jiggling of the particles, which is the result of the bombardment of the atoms."
292,This is called the Brownian motion.
293,We can see further evidence for atoms in the structure of crystals.
294,In many cases the structures deduced by x-ray analysis agree in their spatial “shapes” with the forms actually exhibited by crystals as they occur in nature.
295,"The angles between the various “faces” of a crystal agree, within seconds of arc, with angles deduced on the assumption that a crystal is made of many “layers” of atoms."
296,Everything is made of atoms.
297,That is the key hypothesis.
298,"The most important hypothesis in all of biology, for example, is that everything that animals do, atoms do."
299,"In other words, there is nothing that living things do that cannot be understood from the point of view that they are made of atoms acting according to the laws of physics."
300,"This was not known from the beginning: it took some experimenting and theorizing to suggest this hypothesis, but now it is accepted, and it is the most useful theory for producing new ideas in the field of biology."
301,"If a piece of steel or a piece of salt, consisting of atoms one next to the other, can have such interesting properties; if water—which is nothing but these little blobs, mile upon mile of the same thing over the earth—can form waves and foam, and make rushing noises and strange patterns as it runs over cement; if all of this, all the life of a stream of water, can be nothing but a pile of atoms, how much more is possible?"
302,"If instead of arranging the atoms in some definite pattern, again and again repeated, on and on, or even forming little lumps of complexity like the odor of violets, we make an arrangement which is always different from place to place, with different kinds of atoms arranged in many ways, continually changing, not repeating, how much more marvelously is it possible that this thing might behave?"
303,"Is it possible that that “thing” walking back and forth in front of you, talking to you, is a great glob of these atoms in a very complex arrangement, such that the sheer complexity of it staggers the imagination as to what it can do?"
304,"When we say we are a pile of atoms, we do not mean we are merely a pile of atoms, because a pile of atoms which is not repeated from one to the other might well have the possibilities which you see before you in the mirror."
305,"In this chapter, we shall examine the most fundamental ideas that we have about physics—the nature of things as we see them at the present time."
306,We shall not discuss the history of how we know that all these ideas are true; you will learn these details in due time.
307,"The things with which we concern ourselves in science appear in myriad forms, and with a multitude of attributes."
308,"For example, if we stand on the shore and look at the sea, we see the water, the waves breaking, the foam, the sloshing motion of the water, the sound, the air, the winds and the clouds, the sun and the blue sky, and light; there is sand and there are rocks of various hardness and permanence, color and texture."
309,"There are animals and seaweed, hunger and disease, and the observer on the beach; there may be even happiness and thought."
310,Any other spot in nature has a similar variety of things and influences.
311,"It is always as complicated as that, no matter where it is."
312,"Curiosity demands that we ask questions, that we try to put things together and try to understand this multitude of aspects as perhaps resulting from the action of a relatively small number of elemental things and forces acting in an infinite variety of combinations."
313,For example: Is the sand other than the rocks?
314,"That is, is the sand perhaps nothing but a great number of very tiny stones?"
315,Is the moon a great rock?
316,"If we understood rocks, would we also understand the sand and the moon?"
317,Is the wind a sloshing of the air analogous to the sloshing motion of the water in the sea?
318,What common features do different movements have?
319,What is common to different kinds of sound?
320,How many different colors are there?
321,And so on.
322,"In this way we try gradually to analyze all things, to put together things which at first sight look different, with the hope that we may be able to reduce the number of different things and thereby understand them better."
323,"A few hundred years ago, a method was devised to find partial answers to such questions."
324,"Observation, reason, and experiment make up what we call the scientific method."
325,"We shall have to limit ourselves to a bare description of our basic view of what is sometimes called fundamental physics, or fundamental ideas which have arisen from the application of the scientific method."
326,What do we mean by “understanding” something?
327,"We can imagine that this complicated array of moving things which constitutes “the world” is something like a great chess game being played by the gods, and we are observers of the game."
328,We do not know what the rules of the game are; all we are allowed to do is to watch the playing.
329,"Of course, if we watch long enough, we may eventually catch on to a few of the rules."
330,The rules of the game are what we mean by fundamental physics.
331,"Even if we knew every rule, however, we might not be able to understand why a particular move is made in the game, merely because it is too complicated and our minds are limited."
332,"If you play chess you must know that it is easy to learn all the rules, and yet it is often very hard to select the best move or to understand why a player moves as he does."
333,"So it is in nature, only much more so; but we may be able at least to find all the rules."
334,"Actually, we do not have all the rules now."
335,(Every once in a while something like castling is going on that we still do not understand.)
336,"Aside from not knowing all of the rules, what we really can explain in terms of those rules is very limited, because almost all situations are so enormously complicated that we cannot follow the plays of the game using the rules, much less tell what is going to happen next."
337,"We must, therefore, limit ourselves to the more basic question of the rules of the game."
338,"If we know the rules, we consider that we “understand” the world."
339,How can we tell whether the rules which we “guess” at are really right if we cannot analyze the game very well?
340,"There are, roughly speaking, three ways."
341,"First, there may be situations where nature has arranged, or we arrange nature, to be simple and to have so few parts that we can predict exactly what will happen, and thus we can check how our rules work."
342,"(In one corner of the board there may be only a few chess pieces at work, and that we can figure out exactly.)"
343,A second good way to check rules is in terms of less specific rules derived from them.
344,"For example, the rule on the move of a bishop on a chessboard is that it moves only on the diagonal."
345,"One can deduce, no matter how many moves may be made, that a certain bishop will always be on a red square."
346,"So, without being able to follow the details, we can always check our idea about the bishop’s motion by finding out whether it is always on a red square."
347,"Of course it will be, for a long time, until all of a sudden we find that it is on a black square (what happened of course, is that in the meantime it was captured, another pawn crossed for queening, and it turned into a bishop on a black square)."
348,That is the way it is in physics.
349,"For a long time we will have a rule that works excellently in an overall way, even when we cannot follow the details, and then some time we may discover a new rule."
350,"From the point of view of basic physics, the most interesting phenomena are of course in the new places, the places where the rules do not work—not the places where they do work!"
351,That is the way in which we discover new rules.
352,The third way to tell whether our ideas are right is relatively crude but probably the most powerful of them all.
353,"That is, by rough approximation."
354,"While we may not be able to tell why Alekhine moves this particular piece, perhaps we can roughly understand that he is gathering his pieces around the king to protect it, more or less, since that is the sensible thing to do in the circumstances."
355,"In the same way, we can often understand nature, more or less, without being able to see what every little piece is doing, in terms of our understanding of the game."
356,"At first the phenomena of nature were roughly divided into classes, like heat, electricity, mechanics, magnetism, properties of substances, chemical phenomena, light or optics, x-rays, nuclear physics, gravitation, meson phenomena, etc."
